연도,번호,학교명,학교유형,설립,지역,대학규모,결산_대학총결산,결산_도서자료 구입비,결산_연속간행물 구입비,결산_비도서자료 구입비,결산_전자자료 구입비_전자저널,결산_전자자료 구입비_웹DB,결산_전자자료 구입비_[구독] e-book,결산_전자자료 구입비_기타 전자자료,결산_자료구입비계,예산_대학총예산,예산_도서자료 구입비,예산_연속간행물 구입비,예산_비도서자료 구입비,예산_전자자료 구입비_전자저널,예산_전자자료 구입비_웹DB,예산_전자자료 구입비_[구독] e-book,예산_전자자료 구입비_기타 전자자료,예산_자료구입비계,재학생 1인당 자료구입비(결산)_자료구입비,재학생 1인당 자료구입비(결산)_재학생수(전년도),재학생 1인당 자료구입비(결산)_재학생 1인당 자료구입비,대학총결산 대비 도서관 자료구입비 비율_자료구입비,대학총결산 대비 도서관 자료구입비 비율_대학총결산,대학총결산 대비 도서관 자료구입비 비율_대학총결산 대비 자료구입비 비율,최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2017년(A),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2018년(B),최근 3년간 자료구입비 증가율(결산)_자료구입비(결산)_2019년(C),최근 3년간 자료구입비 증가율(결산)_최근 3년간 자료구입비 증가율(결산)
2019,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,8006847894,2618640,0,0,0,0,0,0,2618640,0,3000000,0,0,0,0,0,0,3000000,2618640,306,8557.6,2618640,8006847894,0,2916600,2543220,2618640,-4.9
2019,2,가야대학교,대학,사립,경남,C그룹,32945677596,86409410,15900700,6423520,19412000,10701065,0,9000000,147846695,28267178000,83000000,17000000,5000000,20000000,15000000,0,10000000,150000000,147846695,2719,54375.4,147846695,32945677596,0.4,154314450,144937020,147846695,-2
2019,3,가천대학교,대학,사립,경기,A그룹,254703961398,489498066,0,10467500,882539000,448854316,0,16094000,1847452882,280273042000,500000000,0,1000000,904000000,560000000,0,50000000,2015000000,1847452882,20507,90088.9,1847452882,254703961398,0.7,1824729443,1899850184,1847452882,0.7
2019,4,가톨릭관동대학교,대학,사립,강원,B그룹,108232395282,254993038,6864102,8931700,311636030,155884396,0,76965533,815274799,111878469000,230000000,9000000,11000000,324365000,135500000,0,82650000,792515000,815274799,8700,93709.7,815274799,108232395282,0.8,825830201,758269988,815274799,-0.3
2019,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,10681131421,31137823,2910000,0,0,45152177,0,15800000,95000000,7539543000,23000000,2100000,400000,0,24500000,0,0,50000000,95000000,517,183752.4,95000000,10681131421,0.9,93000000,90000000,95000000,1.2
2019,6,가톨릭대학교,대학,사립,경기,A그룹,229011807279,407026203,105272713,80588340,2629128967,463523870,0,56642271,3742182364,260047098000,391600000,115463000,40500000,2978951620,529325380,0,57060000,4112900000,3742182364,10450,358103.6,3742182364,229011807279,1.6,4061743642,3829331680,3742182364,-4
2019,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,18626572441,38996390,2410250,1616700,11450000,2408838,0,5456000,62338178,19091982559,39000000,2700000,2000000,12000000,2500000,0,6300000,64500000,62338178,1844,33806,62338178,18626572441,0.3,59933732,63462347,62338178,2.1
2019,8,감리교신학대학교,대학,사립,서울,C그룹,17181267252,93175140,6935264,0,24356817,19532771,0,6000000,149999992,16884162140,80000000,9000000,1000000,30000000,23000000,0,7000000,150000000,149999992,1514,99075.3,149999992,17181267252,0.9,168106423,139999391,149999992,-4.8
2019,9,강남대학교,대학,사립,경기,B그룹,86067091932,87396490,34760530,20014790,119255257,63328657,0,11000000,335755724,84488900000,163253000,50000000,20000000,170000000,88000000,0,20680000,511933000,335755724,7127,47110.4,335755724,86067091932,0.4,778234591,388767755,335755724,-31.8
2019,10,강동대학교,전문대학,사립,충북,B그룹,36444745237,44240200,3034600,0,0,14404232,0,47102220,108781252,33649682000,50000000,4000000,0,0,14000000,0,42000000,110000000,108781252,3906,27849.8,108781252,36444745237,0.3,148540852,109801332,108781252,-13.5
2019,11,강릉영동대학교,전문대학,사립,강원,B그룹,25827501889,54775639,779640,0,5715000,2386755,0,0,63657034,30453034050,57240000,0,0,0,0,0,0,57240000,63657034,2838,22430.2,63657034,25827501889,0.2,84867550,68867734,63657034,-13.2
2019,12,강서대학교,대학,사립,서울,C그룹,15554422167,22648320,14532638,0,22800000,30419039,0,2200000,92599997,14759407000,29640000,10000000,2000000,23500000,34300000,0,2200000,101640000,92599997,1582,58533.5,92599997,15554422167,0.6,96975527,99000000,92599997,-2.2
2019,13,강원관광대학교,전문대학,사립,강원,C그룹,11978628459,24576290,2460700,240000,4474000,0,0,0,31750990,13302650000,35000000,3000000,0,4000000,0,0,0,42000000,31750990,1168,27184.1,31750990,11978628459,0.3,36841860,32045990,31750990,-7
2019,14,강원대학교,대학,국립,강원,A그룹,278026506370,310028640,598039960,6723000,1533722417,483985774,0,13209671,2945709462,219681468000,341000000,634596000,10000000,676060000,10000000,0,0,1671656000,2945709462,22571,130508.6,2945709462,278026506370,1.1,2973599950,2337919950,2945709462,2.3
2019,15,강원도립대학교,전문대학,공립,강원,C그룹,13039320910,30000000,2935000,0,0,0,0,3500000,36435000,12740000000,30000000,3000000,0,0,0,0,3500000,36500000,36435000,713,51101,36435000,13039320910,0.3,32548700,36474800,36435000,6
2019,16,개신대학원대학교,대학원대학,사립,서울,-,1912887431,5947583,374000,0,0,0,0,0,6321583,2155370000,9000000,1000000,0,0,0,0,0,10000000,6321583,179,35316.1,6321583,1912887431,0.3,6496186,7165584,6321583,-0.7
2019,17,거제대학교,전문대학,사립,경남,C그룹,13888814584,29290200,5017900,2224440,4302000,2401444,0,0,43235984,13289102000,26000000,5600000,2100000,3500000,3500000,0,0,40700000,43235984,1271,34017.3,43235984,13888814584,0.3,50199790,39689373,43235984,-6
2019,18,건국대학교,대학,사립,서울,A그룹,405567487552,726143636,72851960,6784400,1278059648,508282396,0,10000000,2602122040,387876375000,621000000,73000000,6000000,1280662000,509318000,0,10020000,2500000000,2602122040,20313,128101.3,2602122040,405567487552,0.6,2827349920,2742552820,2602122040,-4.1
2019,19,건국대학교(글로컬),대학,사립,충북,B그룹,0,326930370,44230700,119920,329111190,128124287,0,71466900,899983367,0,302000000,40000000,3000000,286359526,101640474,0,67000000,800000000,899983367,8108,110999.4,899983367,0,0,999925788,1033027905,899983367,-4.8
2019,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,21,건신대학원대학교,대학원대학,사립,대전,-,1277691907,4400909,642758,0,0,8668493,0,0,13712160,1474274000,8500000,1500000,0,10000000,0,0,0,20000000,13712160,136,100824.7,13712160,1277691907,1.1,18930534,17455724,13712160,-14.6
