연도,번호,학교명,학교유형,설립,지역,대학규모,봉사대상자수 및 이용자수_재학생수(전년도),봉사대상자수 및 이용자수_봉사대상자수_학부생,봉사대상자수 및 이용자수_봉사대상자수_대학원생,봉사대상자수 및 이용자수_봉사대상자수_전임교원,봉사대상자수 및 이용자수_봉사대상자수_비전임교원,봉사대상자수 및 이용자수_봉사대상자수_직원,봉사대상자수 및 이용자수_봉사대상자수_기타,봉사대상자수 및 이용자수_봉사대상자수_계,봉사대상자수 및 이용자수_학과수,봉사대상자수 및 이용자수_이용자수_도서관 이용자수,대출현황_대출자수_학부생,대출현황_대출자수_대학원생,대출현황_대출자수_교원,대출현황_대출자수_직원,대출현황_대출자수_기타,대출현황_대출자수_계,대출현황_대출책수_학부생,대출현황_대출책수_대학원생,대출현황_대출책수_교원,대출현황_대출책수_직원,대출현황_대출책수_기타,대출현황_대출책수_계,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_신청,참고서비스 및 상호협력_참고서비스 신청 및 제공 건수 (2010년 이전)_제공,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_면담,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_전화,참고서비스 및 상호협력_참고서비스 제공 건수 (2010년 이후)_온라인,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_신청,참고서비스 및 상호협력_상호대차 신청 및 제공 건수_제공,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_신청,참고서비스 및 상호협력_원문복사 신청 및 제공 건수_제공,이용자 교육_교육횟수,이용자 교육_교육 참가자수,재학생 1인당 대출책수_대출책수,재학생 1인당 대출책수_재학생수(전년도),재학생 1인당 대출책수_재학생 1인당 대출책수,재학생 1인당 도서관방문자수_방문자수,재학생 1인당 도서관방문자수_재학생수(전년도),재학생 1인당 도서관방문자수_재학생 1인당 도서관방문자수
2017,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,311,311,0,17,11,27,0,366,4,313,27,0,0,33,0,60,69,0,0,56,0,125,0,0,0,0,0,0,0,0,0,0,0,69,311,0.20000000298023224,313,311,1
2017,2,가야대학교,대학,사립,경남,C그룹,2718,2570,148,93,96,67,23,2997,15,89725,746,11,35,31,0,823,7030,108,982,1012,965,10097,0,0,349,75,12,43,5,25,0,8,274,7138,2718,2.5999999046325684,89725,2718,33
2017,3,가천대학교,대학,사립,경기,A그룹,20737,18642,2095,856,1267,280,595,23735,59,845906,8334,470,263,141,145,9353,61736,4889,3863,1524,7486,79498,0,0,9902,4707,1865,101,249,308,142,23,633,66625,20737,3.200000047683716,845906,20737,40.79999923706055
2017,4,가톨릭관동대학교,대학,사립,강원,B그룹,9332,8868,464,432,312,251,107,10434,56,466730,2285,73,152,134,65,2709,19505,845,2220,2613,741,25924,0,0,2795,1033,4,8,125,61,50,5,151,20350,9332,2.200000047683716,466730,9332,50
2017,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,536,486,50,22,40,43,0,641,2,45308,342,20,19,20,0,401,2709,358,276,267,0,3610,0,0,19,8,11,0,0,0,0,1,114,3067,536,5.699999809265137,45308,536,84.5
2017,6,가톨릭대학교,대학,사립,경기,A그룹,10881,7992,2889,1154,1180,491,2063,15769,46,1399308,6648,939,2056,282,940,10865,87824,24756,25611,7861,16111,162163,0,0,7242,6201,2470,640,2542,2639,1944,111,1912,112580,10881,10.300000190734863,1399308,10881,128.60000610351562
2017,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,1975,1975,0,60,139,59,105,2338,21,121998,709,0,29,33,17,788,6085,0,255,458,612,7410,0,0,23,1,0,0,0,12,0,17,598,6085,1975,3.0999999046325684,121998,1975,61.79999923706055
2017,8,감리교신학대학교,대학,사립,서울,C그룹,1576,840,736,27,103,35,505,2246,7,2066,701,679,100,25,111,1616,11285,20863,3680,591,1677,38096,0,0,150,90,65,1,18,18,51,4,169,32148,1576,20.399999618530273,2066,1576,1.2999999523162842
2017,9,강남대학교,대학,사립,경기,B그룹,7325,6918,407,239,334,108,150,8156,37,256353,3208,135,83,111,54,3591,20344,1332,1407,2034,409,25526,0,0,22,20,12,16,43,52,30,2,68,21676,7325,3,256353,7325,35
2017,10,강동대학교,전문대학,사립,충북,B그룹,4027,4027,0,97,286,49,0,4459,34,48588,314,0,22,25,0,361,1422,0,321,162,394,2299,0,0,413,50,0,0,0,0,0,1,125,1422,4027,0.4000000059604645,48588,4027,12.100000381469727
2017,11,강릉영동대학교,전문대학,사립,강원,B그룹,3008,3008,0,89,148,51,56,3352,24,0,891,0,50,35,21,997,5278,0,721,822,119,6940,0,0,5,1,0,5,0,3,0,0,0,5278,3008,1.7999999523162842,0,3008,0
2017,12,강서대학교,대학,사립,서울,C그룹,1604,1433,171,52,111,45,275,2087,20,10065,285,63,39,21,34,442,1953,839,485,184,582,4043,0,0,678,230,7,4,25,4,7,3,86,2792,1604,1.7000000476837158,10065,1604,6.300000190734863
2017,13,강원관광대학교,전문대학,사립,강원,C그룹,1351,1351,0,37,77,37,0,1502,14,50600,225,0,10,8,0,243,1263,0,58,35,0,1356,0,0,6229,601,88,0,0,0,0,18,350,1263,1351,0.8999999761581421,50600,1351,37.5
2017,14,강원대학교,대학,국립,강원,A그룹,23947,21124,2823,996,1339,637,1667,28586,114,1628379,14989,1497,1072,722,992,19272,66001,12887,8009,13674,7522,108093,0,0,3288,5008,367,1184,459,1633,11021,115,1642,78888,23947,3.299999952316284,1628379,23947,68
2017,15,강원도립대학교,전문대학,공립,강원,C그룹,894,894,0,31,84,50,5,1064,13,1018,156,0,16,33,10,215,1607,0,253,484,275,2619,0,0,45,72,0,0,0,14,14,0,0,1607,894,1.7999999523162842,1018,894,1.100000023841858
2017,16,개신대학원대학교,대학원대학,사립,서울,-,134,0,134,6,16,9,28,193,9,8500,0,54,3,1,28,86,0,634,18,9,470,1131,0,0,200,50,50,0,0,1,0,0,0,634,134,4.699999809265137,8500,134,63.400001525878906
2017,17,거제대학교,전문대학,사립,경남,C그룹,1566,1566,0,43,90,42,15,1756,7,61955,469,0,54,32,15,570,3122,0,1082,787,265,5256,0,0,50,60,30,11,0,28,0,6,161,3122,1566,2,61955,1566,39.599998474121094
2017,18,건국대학교,대학,사립,서울,A그룹,19902,15583,4319,712,1314,446,18687,41061,70,2230068,9853,2698,680,487,3933,17651,83305,31097,11812,5926,44214,176354,0,0,0,0,204,103,222,1050,300,29,355,114402,19902,5.699999809265137,2230068,19902,112.0999984741211
2017,19,건국대학교(글로컬),대학,사립,충북,B그룹,8761,8196,565,484,366,157,5021,14789,45,332112,4733,171,192,175,173,5444,43465,1532,4297,2969,23823,76086,0,0,57,138,29,52,142,596,72,54,1301,44997,8761,5.099999904632568,332112,8761,37.900001525878906
2017,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,21,건신대학원대학교,대학원대학,사립,대전,-,148,0,148,12,16,8,850,1034,7,2366,0,92,11,1,15,119,0,935,200,7,315,1457,0,0,0,0,0,0,0,0,0,0,0,935,148,6.300000190734863,2366,148,16
2017,22,건양대학교,대학,사립,충남,B그룹,8593,7994,599,399,249,188,1036,10465,47,698615,5422,149,230,185,244,6230,49477,1350,3715,2670,7609,64821,0,0,143,328,107,27,39,540,241,25,2393,50827,8593,5.900000095367432,698615,8593,81.30000305175781
2017,23,경기과학기술대학교,전문대학,사립,경기,A그룹,4483,4483,0,115,210,61,393,5262,21,549163,1571,0,77,71,15,1734,6671,0,865,961,3581,12078,0,0,84,17,3,78,68,0,0,17,199,6671,4483,1.5,549163,4483,122.5
2017,24,경기대학교,대학,사립,경기,A그룹,16377,14164,2213,500,899,250,7108,25134,68,605909,9436,928,359,370,467,11560,68961,8459,5449,5169,27594,115632,0,0,970,9003,1405,184,445,1670,197,53,2218,77420,16377,4.699999809265137,605909,16377,37
2017,25,경남대학교,대학,사립,경남,A그룹,13489,12277,1212,453,465,227,1541,16175,49,521432,4258,491,320,149,357,5575,28495,6325,6474,3674,22293,67261,0,0,3256,1744,20,110,210,204,140,34,792,34820,13489,2.5999999046325684,521432,13489,38.70000076293945
2017,26,경남도립거창대학,전문대학,공립,경남,C그룹,889,889,0,30,81,55,13,1068,12,7527,263,0,44,25,2,334,1804,0,1201,337,6,3348,0,0,0,0,0,0,0,0,0,3,78,1804,889,2,7527,889,8.5
2017,27,경남도립남해대학,전문대학,공립,경남,C그룹,848,848,0,23,60,42,0,973,9,25000,421,0,34,21,0,476,3234,0,1040,315,0,4589,0,0,0,0,0,0,0,0,0,0,0,3234,848,3.799999952316284,25000,848,29.5
2017,28,경남정보대학교,전문대학,사립,부산,A그룹,6853,6853,0,185,401,139,0,7578,30,167033,959,0,81,49,9,1098,4202,0,680,442,1534,6858,0,0,41,66,14,1,0,0,0,5,214,4202,6853,0.6000000238418579,167033,6853,24.399999618530273
2017,29,경동대학교,대학,사립,강원,B그룹,7240,7240,0,244,118,105,123,7830,41,138978,1318,0,23,41,0,1382,15183,0,184,781,785,16933,0,0,500,700,80,0,0,0,0,3,372,15183,7240,2.0999999046325684,138978,7240,19.200000762939453
2017,30,경민대학교,전문대학,사립,경기,B그룹,4661,4661,0,135,338,86,43,5263,31,55497,1751,0,90,61,43,1945,14937,0,3253,2406,1551,22147,0,0,26,52,9,0,0,19,0,32,2241,14937,4661,3.200000047683716,55497,4661,11.899999618530273
2017,31,경복대학교,전문대학,사립,경기,A그룹,6350,6350,0,176,321,99,0,6946,38,20050,2128,0,63,32,0,2223,14112,0,632,669,0,15413,0,0,80,50,0,0,0,6,6,16,1648,14112,6350,2.200000047683716,20050,6350,3.200000047683716
2017,32,경북과학대학교,전문대학,사립,경북,C그룹,1902,1902,0,62,148,38,0,2150,19,7250,41,0,10,4,0,55,431,0,105,64,0,600,0,0,3,2,0,0,0,0,0,0,0,431,1902,0.20000000298023224,7250,1902,3.799999952316284
2017,33,경북대학교,대학,국립,대구,A그룹,30296,23702,6594,1262,1628,739,14707,48632,151,974572,17833,2903,1306,493,1179,23714,151648,39357,22412,6311,31417,251145,0,0,100885,44549,3196,537,1166,1761,2864,128,3332,191005,30296,6.300000190734863,974572,30296,32.20000076293945
2017,34,경북보건대학교,전문대학,사립,경북,C그룹,1300,1300,0,43,89,48,0,1480,8,0,497,0,29,28,0,554,4443,0,804,986,0,6233,0,0,8,5,0,2,0,11,0,12,264,4443,1300,3.4000000953674316,0,1300,0
2017,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,36,경북전문대학교,전문대학,사립,경북,B그룹,2562,2562,0,76,146,62,0,2846,24,92800,542,0,23,56,0,621,2592,0,644,793,0,4029,0,0,760,152,25,1,0,0,0,22,1023,2592,2562,1,92800,2562,36.20000076293945
2017,37,경상국립대학교,대학,국립,경남,A그룹,22867,19939,2928,986,1098,550,5135,30636,117,717175,9671,1303,594,415,2885,14868,74931,14026,10349,5863,26801,131970,0,0,9700,13590,835,198,249,1414,301,40,887,88957,22867,3.9000000953674316,717175,22867,31.399999618530273
2017,38,경성대학교,대학,사립,부산,A그룹,13468,12674,794,450,561,249,6085,20813,43,653560,5003,299,408,153,4040,9903,43299,5135,8881,2827,32603,92745,0,0,7153,6435,220,153,218,280,255,82,2598,48434,13468,3.5999999046325684,653560,13468,48.5
2017,39,경안대학원대학교,대학원대학,사립,경북,-,73,0,73,7,13,2,1,96,3,50,0,31,0,0,1,32,0,54,0,0,4,58,0,0,0,0,0,0,0,0,0,0,0,54,73,0.699999988079071,50,73,0.699999988079071
2017,40,경운대학교,대학,사립,경북,C그룹,5066,4944,122,194,200,106,8,5574,24,146000,1214,3,76,49,7,1349,4423,19,506,205,313,5466,0,0,9,12,0,8,0,8,16,0,0,4442,5066,0.8999999761581421,146000,5066,28.799999237060547
2017,41,경인교육대학교,대학,국립,인천,C그룹,4246,2624,1622,132,187,138,592,5295,14,279814,2509,1050,192,105,119,3975,47412,7017,3529,1236,1964,61158,0,0,11904,5952,167,21,41,116,25,20,527,54429,4246,12.800000190734863,279814,4246,65.9000015258789
2017,42,경인여자대학교,전문대학,사립,인천,B그룹,4894,4894,0,111,336,55,13,5409,27,160383,2438,0,78,65,21,2602,27805,0,1393,980,16509,46687,0,0,12,24,34,97,0,118,0,6,3159,27805,4894,5.699999809265137,160383,4894,32.79999923706055
2017,43,경일대학교,대학,사립,경북,B그룹,7373,7153,220,253,178,150,47,8001,33,232996,2980,25,97,121,47,3270,22854,229,1937,1540,1647,28207,0,0,170,350,80,43,11,41,3,22,1018,23083,7373,3.0999999046325684,232996,7373,31.600000381469727
2017,44,경찰대학,기타,기타,충남,-,0,0,0,0,0,0,1500,1500,0,12070,261,0,64,176,339,840,3109,0,1864,2694,4403,12070,0,0,48,44,0,38,7,61,7,1,400,3109,0,0,12070,0,0
2017,45,경희대학교,대학,사립,서울,A그룹,33327,25508,7819,1419,1888,923,14981,52538,91,2105479,19409,5248,1115,702,3602,30076,257560,101663,29658,19172,78198,486251,0,0,39646,26962,4091,918,4049,1781,865,368,8871,359223,33327,10.800000190734863,2105479,33327,63.20000076293945
2017,46,계명대학교,대학,사립,대구,A그룹,24537,22378,2159,898,1017,662,30878,57992,101,1205655,12760,1214,884,513,1999,17370,101088,17112,17447,6402,39409,181458,0,0,10472,24017,135,490,721,3136,1129,104,2827,118200,24537,4.800000190734863,1205655,24537,49.099998474121094
2017,47,계명문화대학교,전문대학,사립,대구,A그룹,5179,5179,0,132,578,88,1380,7357,30,150690,2546,0,170,53,157,2926,21699,0,2190,969,2210,27068,0,0,72,41,15,2,9,1,6,51,2272,21699,5179,4.199999809265137,150690,5179,29.100000381469727
2017,48,계약신학대학원대학교,대학원대학,사립,경기,-,68,0,68,6,7,4,8,97,2,99,0,81,8,2,8,99,0,1479,90,90,44,1703,0,0,30,150,0,0,0,0,0,2,15,1479,68,21.799999237060547,99,68,1.5
2017,49,계원예술대학교,전문대학,사립,경기,B그룹,2856,2856,0,86,196,67,171,3376,16,62513,1395,0,51,51,0,1497,11559,0,744,477,13238,26018,0,0,100,150,50,0,0,1,0,3,184,11559,2856,4,62513,2856,21.899999618530273
2017,50,고려대학교,대학,사립,서울,A그룹,29540,20416,9124,1446,2828,853,2333,37000,69,6175634,17232,5708,1012,830,582,25364,232383,144354,23242,14176,42222,456377,0,0,31553,41036,9071,3823,3845,9857,10289,374,2570,376737,29540,12.800000190734863,6175634,29540,209.10000610351562
2017,51,고려대학교(세종),대학,사립,세종,B그룹,7768,6896,872,280,351,195,132,8726,25,15325,4473,859,305,219,46,5902,39429,6434,2327,1964,1275,51429,0,0,5264,2081,285,75,107,173,121,15,33,45863,7768,5.900000095367432,15325,7768,2
2017,52,고려사이버대학교,대학,사립,서울,A그룹,9671,9616,55,45,130,65,0,9911,23,0,1606,15,15,11,0,1647,8122,54,38,56,0,8270,0,0,0,0,0,19,0,0,0,0,0,8176,9671,0.800000011920929,0,9671,0
2017,53,고신대학교,대학,사립,부산,C그룹,5064,4107,957,307,189,214,302,6076,25,345622,1610,657,125,142,199,2733,14858,15110,3411,2083,1480,36942,0,0,3915,3241,3188,24,86,663,2837,9,313,29968,5064,5.900000095367432,345622,5064,68.30000305175781
2017,54,공군사관학교,기타,기타,충북,-,0,0,0,0,0,0,28,28,0,2022,882,0,207,2116,28,3233,8274,0,2850,28549,102620,142293,0,0,780,260,104,71,3,454,5,37,493,8274,0,0,2022,0,0
2017,55,공주교육대학교,대학,국립,충남,C그룹,2024,1519,505,87,95,64,5,2275,12,157825,10561,344,277,220,2,11404,14974,908,1019,487,3,17391,0,0,0,0,0,34,9,7,11,6,104,15882,2024,7.800000190734863,157825,2024,78
2017,56,과학기술연합대학원대학교,대학원대학,국립,대전,-,1235,0,1235,830,1074,78,0,3217,69,8217,0,300,225,39,65,629,0,2192,2061,360,686,5299,0,0,0,0,0,0,0,151,122,4,360,2192,1235,1.7999999523162842,8217,1235,6.699999809265137
2017,57,광신대학교,대학,사립,광주,C그룹,949,499,450,50,112,28,137,1276,6,70243,151,174,24,5,5,359,962,1418,192,144,51,2767,0,0,15,36,1,16,9,20,7,2,500,2380,949,2.5,70243,949,74
2017,58,광양보건대학교,전문대학,사립,전남,C그룹,1520,1520,0,72,68,26,0,1686,17,1615,354,0,22,19,0,395,530,0,27,52,0,609,0,0,30,12,0,0,0,0,0,11,430,530,1520,0.30000001192092896,1615,1520,1.100000023841858
2017,59,광운대학교,대학,사립,서울,B그룹,9807,8502,1305,331,512,217,23013,33880,36,345598,4084,478,168,168,1813,6711,43412,6399,2626,2592,16465,71494,0,0,7020,4442,420,96,133,484,56,14,268,49811,9807,5.099999904632568,345598,9807,35.20000076293945
2017,60,광주가톨릭대학교,대학,사립,전남,C그룹,106,79,27,16,5,27,385,539,1,15705,79,27,19,10,35,170,4725,3645,515,66,1687,10638,0,0,288,7,52,3,5,4,10,2,34,8370,106,79,15705,106,148.1999969482422
2017,61,광주과학기술원,대학,국립,광주,C그룹,1922,665,1257,157,87,616,39,2821,1,113698,588,896,295,232,0,2011,12800,16543,21233,10820,147,61543,0,0,740,780,642,20,15,259,1,0,0,29343,1922,15.300000190734863,113698,1922,59.20000076293945
2017,62,광주교육대학교,대학,국립,광주,C그룹,2190,1404,786,79,112,82,126,2589,13,1574,1217,171,65,69,52,1574,13678,1298,1171,1349,452,17948,0,0,0,0,170,39,6,124,1,2,273,14976,2190,6.800000190734863,1574,2190,0.699999988079071
2017,63,광주대학교,대학,사립,광주,B그룹,7747,7294,453,259,251,114,1778,10149,45,175832,1899,48,102,58,253,2360,24324,2475,1682,854,5402,34737,0,0,2163,637,95,22,53,43,25,35,1364,26799,7747,3.5,175832,7747,22.700000762939453
2017,64,광주보건대학교,전문대학,사립,광주,B그룹,3968,3968,0,106,200,65,0,4339,14,75808,588,0,45,36,0,669,2563,0,531,429,0,3523,0,0,41,26,3,0,0,1,0,3,639,2563,3968,0.6000000238418579,75808,3968,19.100000381469727
2017,65,광주여자대학교,대학,사립,광주,C그룹,4114,3881,233,138,129,69,211,4661,25,189651,2268,44,76,80,53,2521,14492,182,770,1663,8727,25834,0,0,100,100,8,0,0,25,4,32,911,14674,4114,3.5999999046325684,189651,4114,46.099998474121094
2017,66,구미대학교,전문대학,사립,경북,A그룹,5695,5695,0,131,298,51,0,6175,27,7340,2097,0,27,10,0,2134,2742,0,206,477,19,3444,0,0,68,8,0,0,0,0,0,19,1087,2742,5695,0.5,7340,5695,1.2999999523162842
2017,67,구세군사관대학원대학교,대학원대학,사립,경기,-,41,0,41,10,4,9,7,71,2,914,0,37,10,7,4,58,0,872,47,32,16,967,0,0,114,13,0,0,0,0,0,0,0,872,41,21.299999237060547,914,41,22.299999237060547
2017,68,국군간호사관학교,기타,기타,대전,-,0,0,0,0,0,0,540,540,0,24101,277,0,42,16,35,370,2659,0,456,421,642,4178,0,0,57,29,65,1,0,10,2,3,347,2659,0,0,24101,0,0
2017,69,국립강릉원주대학교,대학,국립,강원,B그룹,8685,8048,637,383,452,312,4711,14543,59,590994,5644,420,434,196,589,7283,39631,5258,5847,2686,7438,60860,0,0,1272,1799,199,632,80,198,151,39,1130,44889,8685,5.199999809265137,590994,8685,68
2017,70,국립경국대학교,대학,국립,경북,B그룹,7914,7272,642,304,402,291,59,8970,60,303310,3787,315,208,170,59,4539,31080,4678,3648,1927,1363,42696,0,0,84,334,261,90,15,440,39,58,1777,35758,7914,4.5,303310,7914,38.29999923706055
2017,71,국립공주대학교,대학,국립,충남,A그룹,16672,13992,2680,555,747,388,1183,19545,109,1225439,7230,923,240,273,472,9138,57295,9418,3836,4043,12532,87124,0,0,651,223,218,119,160,219,171,68,1996,66713,16672,4,1225439,16672,73.5
2017,72,국립군산대학교,대학,국립,전북,B그룹,8296,7553,743,344,272,256,278,9446,55,830928,3198,273,199,210,166,4046,20948,2960,3001,2872,23023,52804,0,0,10462,9603,139,51,37,388,34,21,675,23908,8296,2.9000000953674316,830928,8296,100.19999694824219
2017,73,국립금오공과대학교,대학,국립,경북,B그룹,7131,6440,691,220,202,199,319,8071,19,508309,4015,316,148,152,185,4816,36787,3377,2526,2497,3115,48302,0,0,52,80,47,12,28,144,34,5,324,40164,7131,5.599999904632568,508309,7131,71.30000305175781
2017,74,국립목포대학교,대학,국립,전남,B그룹,8513,7507,1006,314,423,207,417,9874,52,257619,3472,330,142,114,100,4158,23482,2421,2158,1726,10604,40391,0,0,840,1260,220,199,30,410,28,31,931,25903,8513,3,257619,8513,30.299999237060547
2017,75,국립목포해양대학교,대학,국립,전남,C그룹,2748,2612,136,111,67,167,88,3181,12,47281,1159,39,62,47,36,1343,6273,332,647,466,5251,12969,0,0,835,38,0,9,1,1,1,8,748,6605,2748,2.4000000953674316,47281,2748,17.200000762939453
2017,76,국립부경대학교,대학,국립,부산,A그룹,19611,17085,2526,599,838,454,13144,34646,79,1597921,10486,1131,478,253,907,13255,77809,13880,6788,3816,26753,129046,0,0,2609,13950,124,173,108,1298,165,80,2264,91689,19611,4.699999809265137,1597921,19611,81.5
2017,77,국립순천대학교,대학,국립,전남,B그룹,8341,7530,811,323,346,244,4523,13777,61,327086,4453,347,211,180,685,5876,36909,3809,3253,2454,15348,61773,0,0,737,135,8298,20,42,432,23,31,1588,40718,8341,4.900000095367432,327086,8341,39.20000076293945
2017,78,국립암센터국제암대학원대학교,대학원대학,국립,경기,-,66,0,66,19,60,5,0,150,2,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,2600,66,39.400001525878906
2017,79,국립창원대학교,대학,국립,경남,B그룹,10088,8648,1440,333,568,250,2660,13899,49,773473,5393,449,245,228,907,7222,41401,4865,4548,3317,12472,66603,0,0,1960,1680,68,136,59,664,63,37,1435,46266,10088,4.599999904632568,773473,10088,76.69999694824219
2017,80,국립한국교통대학교,대학,국립,충북,B그룹,9302,8676,626,316,377,215,204,10414,53,204,4578,144,145,151,67,5085,36549,1373,2363,2353,2218,44856,0,0,1540,1848,72,0,0,30,1,15,455,37922,9302,4.099999904632568,204,9302,0
2017,81,국립한국해양대학교,대학,국립,부산,B그룹,7840,6896,944,271,444,257,232,9044,36,627546,3638,264,178,199,57,4336,23358,2547,2628,2315,1391,32239,0,0,715,345,150,72,43,334,67,9,127,25905,7840,3.299999952316284,627546,7840,80
2017,82,국립한밭대학교,대학,국립,대전,B그룹,8965,8458,507,261,482,193,621,10522,26,425932,3916,185,247,207,344,4899,25098,1848,4616,2939,6416,40917,0,0,5460,2030,290,28,35,124,6,4,103,26946,8965,3,425932,8965,47.5
2017,83,국민대학교,대학,사립,서울,A그룹,18182,15162,3020,652,1140,471,4576,25021,85,1053515,13848,2410,794,489,539,18080,78603,20021,9799,4582,53477,166482,0,0,1375,1100,550,169,404,708,260,60,1617,98624,18182,5.400000095367432,1053515,18182,57.900001525878906
2017,84,국방대학교,기타,기타,충남,-,0,0,0,0,0,0,2090,2090,0,43000,0,422,154,189,421,1186,0,14167,2353,5398,10352,32270,0,0,15500,9844,0,31,29,55,53,12,780,14167,0,0,43000,0,0
2017,85,국제뇌교육종합대학원대학교,대학원대학,사립,충남,-,267,0,267,16,13,19,275,590,4,340,0,14,14,5,10,43,0,285,0,0,0,285,0,0,19,50,5,7,7,5,5,2,100,285,267,1.100000023841858,340,267,1.2999999523162842
2017,86,국제대학교,전문대학,사립,경기,B그룹,4289,4289,0,113,308,53,31,4794,22,40599,289,0,43,35,0,367,1055,0,373,281,1148,2857,0,0,692,37,0,0,0,1,1,31,1044,1055,4289,0.20000000298023224,40599,4289,9.5
2017,87,국제문화대학원대학교,대학원대학,사립,충남,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,88,국제법률경영대학원대학교,대학원대학,사립,경기,-,88,0,88,5,0,0,0,93,2,110,0,86,0,0,0,86,0,821,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,821,88,9.300000190734863,110,88,1.2999999523162842
2017,89,국제사이버대학교,대학,사립,경기,C그룹,2764,2764,0,16,108,31,400,3319,4,410,340,0,2,2,0,344,429,0,2,2,0,433,0,0,0,0,0,0,0,0,0,1,30,429,2764,0.20000000298023224,410,2764,0.10000000149011612
2017,90,국제언어대학원대학교,대학원대학,사립,서울,-,82,0,82,7,7,12,200,308,2,250,0,107,8,8,79,202,0,2711,238,218,496,3663,0,0,100,30,30,0,0,11,2,48,157,2711,82,33.099998474121094,250,82,3
2017,91,국제예술대학교,기타,기타,서울,-,0,0,0,0,0,0,0,0,0,2400,14,0,5,0,0,19,19,0,11,0,0,30,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2400,0,0
2017,92,군산간호대학교,전문대학,사립,전북,C그룹,1112,1112,0,31,46,31,57,1277,1,26392,866,0,23,11,25,925,7896,0,453,204,67,8620,0,0,830,175,70,0,0,0,0,0,0,7896,1112,7.099999904632568,26392,1112,23.700000762939453
2017,93,군장대학교,전문대학,사립,전북,C그룹,1918,1918,0,57,156,65,6,2202,20,12061,166,0,7,11,0,184,3310,0,41,52,13,3416,0,0,102,68,0,1,1,0,0,9,316,3310,1918,1.7000000476837158,12061,1918,6.300000190734863
2017,94,극동대학교,대학,사립,충북,C그룹,4293,4183,110,151,285,60,126,4915,39,27391,1017,11,94,46,14,1182,7314,187,1520,737,4634,14392,0,0,0,0,0,0,0,11,0,1,68,7501,4293,1.7000000476837158,27391,4293,6.400000095367432
2017,95,글로벌사이버대학교,대학,사립,충남,C그룹,2133,2133,0,14,135,40,2501,4823,11,279,56,0,0,3,9,68,209,0,0,6,16,231,0,0,0,0,0,0,0,0,0,0,0,209,2133,0.10000000149011612,279,2133,0.10000000149011612
2017,96,금강대학교,대학,사립,충남,C그룹,548,523,25,28,62,37,168,843,13,44689,382,22,31,26,9,470,6127,933,453,357,33,7903,0,0,74,24,0,0,0,1,2,1,30,7060,548,12.899999618530273,44689,548,81.5
2017,97,기독간호대학교,전문대학,사립,광주,C그룹,637,637,0,20,26,17,0,700,1,12000,222,0,14,8,0,244,1457,0,73,72,146,1748,0,0,140,40,0,0,0,0,0,1,230,1457,637,2.299999952316284,12000,637,18.799999237060547
2017,98,김천대학교,대학,사립,경북,C그룹,3758,3707,51,131,132,76,9,4106,24,147198,895,12,38,49,0,994,10768,114,717,619,0,12218,0,0,42,15,0,0,0,1,0,18,430,10882,3758,2.9000000953674316,147198,3758,39.20000076293945
2017,99,김포대학교,전문대학,사립,경기,C그룹,3331,3331,0,93,195,49,20,3688,30,82419,837,0,74,49,5,965,6963,0,1309,533,1006,9811,0,0,120,100,24,18,18,30,28,27,1394,6963,3331,2.0999999046325684,82419,3331,24.700000762939453
2017,100,김해대학교,전문대학,사립,경남,C그룹,1378,1378,0,46,112,58,0,1594,16,52582,259,0,12,27,0,298,1571,0,104,331,0,2006,0,0,8,32,0,0,0,6,2,0,0,1571,1378,1.100000023841858,52582,1378,38.20000076293945
2017,101,나사렛대학교,대학,사립,충남,B그룹,5861,5488,373,169,234,86,351,6701,41,168810,3287,183,129,72,332,4003,34609,4901,2537,1029,4697,47773,0,0,1903,224,439,75,60,190,33,37,730,39510,5861,6.699999809265137,168810,5861,28.799999237060547
2017,102,나주대학교,전문대학,사립,전남,C그룹,2131,2131,0,56,169,30,2030,4416,18,128,22,0,6,5,2,35,36,0,12,14,10,72,0,0,63,75,15,0,0,0,0,4,216,36,2131,0,128,2131,0.10000000149011612
