YR,RK,SNM,SCR,ID,STYP,FND,RGN,USC,BR_TCNT_KB,BR_TCNT_OB,BR_TCNT_SUM,BR_BCNT_KB,BR_BCNT_OB,BR_BCNT_SUM,ER_EJN_PKG,ER_WDB_PKG,ER_EB_TCNT,ER_ELV_PKG,ER_TTL_PKG,ER_TTL_TCNT,SRL_KR,SRL_OT,SRL_TTL,AHC_ABI_BUY,AHC_ABI_DON,AHC_ABI_TTL,AHC_ATI,AHC_ARM,BPS_BO,BPS_SCP,BPS_BPS,GRR_AHBC,GRR_BO,GRR_GRR,FACLT_LAS,FACLT_RS_TRS,FACLT_EQP_TPC,APS_AR,APS_SCC,APS_APS,STL_USTL,STL_BC,STL_SRC,STL_NBC,STL_ERC_EJN,STL_ERC_WDB,STL_ERC_EB,STL_ERC_OER,STL_MCT,BGT_UBGT,BGT_BC,BGT_SRC,BGT_NBC,BGT_ERC_EJN,BGT_ERC_WDB,BGT_ERC_EB,BGT_ERC_OER,BGT_MCT,CPSS_MC,CPSS_SCP,CPSS_CPS,LBRT_MC,LBRT_USTL,LBRT_BRT,BG3Y_MCS_18A,BG3Y_MCS_19B,BG3Y_MCS_20C,BG3Y_BG3Y,VUC_VTC_PYR_SC,VUC_VTC_PYR_UGRD,VUC_VTC_PYR_GRAD,VUC_VTC_PYR_FFAC,VUC_VTC_PYR_PFAC,VUC_VTC_PYR_STF,VUC_VTC_PYR_OTH,VUC_VTC_PYR_SUM,VUC_VTC_CYR_SC,VUC_VTC_CYR_UGRD,VUC_VTC_CYR_GRAD,VUC_VTC_CYR_FFAC,VUC_VTC_CYR_PFAC,VUC_VTC_CYR_STF,VUC_VTC_CYR_OTH,VUC_VTC_CYR_SUM,VUC_DPC,VUC_UC_LUC,LS_LU_UGRD,LS_LU_GRAD,LS_LU_FAC,LS_LU_STF,LS_LU_OTH,LS_LU_SUM,LS_LB_UGRD,LS_LB_GRAD,LS_LB_FAC,LS_LB_STF,LS_LB_OTH,LS_LB_SUM,RCOL_RBF10_REQ,RCOL_RBF10_PRV,RCOL_RAF10_CSLT,RCOL_RAF10_PHN,RCOL_RAF10_ONL,RCOL_RFLN_REQ,RCOL_RFLN_PRV,RCOL_RFC_REQ,RCOL_RFC_PRV,UE_EDC,UE_EP,LPS_LB,LPS_SCP,LPS_LPS,VPS_VC,VPS_SCP,VPS_VPS,STF_FT_EXC_SL1,STF_FT_EXC_SL2,STF_FT_EXC_ALIB,STF_FT_EXC_NOH,STF_FT_EXC_SUM,STF_FT_MRL_SL1,STF_FT_MRL_SL2,STF_FT_MRL_ALIB,STF_FT_MRL_NOH,STF_FT_MRL_SUM,STF_PT_EXC_SL1,STF_PT_EXC_SL2,STF_PT_EXC_ALIB,STF_PT_EXC_NOH,STF_PT_EXC_SUM,STF_PT_MRL_SL1,STF_PT_MRL_SL2,STF_PT_MRL_ALIB,STF_PT_MRL_NOH,STF_PT_MRL_SUM,STF_TTL_EXC_SL1,STF_TTL_EXC_SL2,STF_TTL_EXC_ALIB,STF_TTL_EXC_NOH,STF_TTL_EXC_SUM,STF_TTL_MRL_SL1,STF_TTL_MRL_SL2,STF_TTL_MRL_ALIB,STF_TTL_MRL_NOH,STF_TTL_MRL_SUM,STF_TTL_SUM_SL1,STF_TTL_SUM_SL2,STF_TTL_SUM_ALIB,STF_TTL_SUM_NOH,STF_TTL_SUM_SUM,SES_PTH,SES_PTC,SPK_FT_LIB,SPK_FT_NLIB,SPK_PT_LIB,SPK_PT_NLIB,SPK_SCC,SPK_SPK,LPK_LFT2,LPK_LPT2,LPK_SCC,LPK_LPK,EHS_EH,EHS_LFT,EHS_LPT,EHS_EHS
2020,1,서울대학교,86.5,200,대학,국립,서울,A그룹,731687,1642659,2374346,2135088,2977928,5113016,91,118,690013,0,209,690013,1417,1970,3387,22255,15249,37504,34996,473,5113016,27784,184,37504,5113016,.699999988079071,7101,180,1,7101,847,8.399999618530273,2866574439,0,0,0,0,0,0,0,0,2022892000,0,0,0,0,0,0,0,0,0,537,0,0,2866574439,0,5960120,5787440,0,-51.4,537,537,0,28,31,26,0,622,486,486,0,29,26,26,68,635,0,234,204,0,21,0,0,225,96,0,138,0,0,234,0,0,0,0,0,0,0,0,0,0,0,96,537,.2000000029802322,234,537,.4000000059604645,3,1,0,2,6,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,4,2,0,3,9,0,0,0,0,0,4,2,0,3,9,510,139,4,2,2,1,7392,1,4,2,7392,.800000011920929,510,5,3,63.79999923706055
2020,2,연세대학교,79.6,272,대학,사립,서울,A그룹,864456,830734,1695190,1485685,1181465,2667150,65,82,290319,1,148,290319,1110,625,1735,52275,15911,68186,59097,11082,2667150,30301,88,68186,2667150,2.5999999046325684,1274,352,8,1274,2106,.6000000238418579,235110960304,292477261,137737250,7617200,1147750791,351622023,0,22500000,1959704525,237142814000,292092000,143000000,8000000,1170000000,350000000,0,23000000,1986092000,1959704525,20941,93582.2,1959704525,235110960304,.8,1921772706,1845041650,1959704525,1.1,80,0,80,7,4,6,3,100,84,0,84,7,2,7,9,109,0,4982,0,62,6,4,3,75,0,1087,54,16,11,1168,0,0,5,0,0,0,1,3,2,1,12,1087,80,13.600000381469728,4982,80,62.29999923706055,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,4,194.5,36,2,0,2,0,4550,.800000011920929,2,2,4550,.8999999761581421,194.5,3,1,48.59999847412109
2020,3,고려대학교,79.3,50,대학,사립,서울,A그룹,641611,979267,1620878,1505896,1543050,3048946,122,108,664507,4,234,664507,970,1234,2204,50920,12959,63879,53086,203,3048946,29757,102.5,63879,3048946,2.0999999046325684,12801.7001953125,1718,110,12801.7001953125,11771,1.100000023841858,1408661760,6114670,490000,0,0,0,0,0,6604670,1412492637,6000000,505000,0,0,0,0,0,6505000,6604670,37,178504.6,6604670,1408661760,.5,6445780,6471778,6604670,1.2,3845,3614,231,133,68,76,81,4203,3951,3735,216,131,135,80,193,4490,0,182728,1567,45,78,70,30,1790,7997,232,1181,883,8562,18855,0,0,100,100,15,0,0,56,0,21,681,8229,3845,2.0999999046325684,182728,3845,47.5,0,1,2,1,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,3,2,1,6,237.5,48,3,1,2,0,4788,1.100000023841858,3,2,4788,1,237.5,5,1,39.59999847412109
2020,4,성균관대학교,78.8,227,대학,사립,서울,A그룹,705115,457185,1162300,1304273,796356,2100629,42,56,541987,6,104,541987,366,303,669,35248,5974,41222,23875,122,2100629,27097,77.5,41222,2100629,2,0,0,0,0,0,0,98437410155,264724968,39049024,4699280,297806943,125424565,0,38260000,769964780,102304480089,267908928,41015791,5408000,318935194,137323035,0,38760000,809350948,769964780,7482,102909,769964780,98437410155,.8,856645796,737680008,769964780,-4.8,7482,6568,914,257,340,193,2092,10364,7443,6567,876,262,374,201,1664,9944,0,288549,3865,280,269,248,578,5240,37963,5797,5997,4320,7591,61668,0,0,1622,282,465,106,272,165,34,11,564,43760,7482,5.800000190734863,288549,7482,38.59999847412109,2,3,0,0,5,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,2,11,0,0,13,0,0,0,0,0,2,11,0,0,13,591,168,5,0,8,0,7443,1.5,5,8,7443,1.7000000476837158,591,5,8,45.5
2020,5,한국과학기술원,78,373,대학,국립,대전,A그룹,276685,357228,633913,380371,416045,796416,61,71,415711,3,135,415711,108,30,138,51427,7955,59382,52854,691,796416,10679,74.5999984741211,59382,796416,8.100000381469727,6065.2998046875,339,93,6065.2998046875,711,8.5,25818669679,74059980,5970600,5331120,4662000,0,0,5355000,95378700,25894033000,57000000,6450000,23000000,4800000,0,0,5500000,96750000,95378700,1877,50814.4,95378700,25818669679,.4,101725400,94397810,95378700,-3.1,1877,1877,0,52,69,52,94,2144,1973,1973,0,50,75,53,95,2246,0,23074,671,0,29,20,20,740,6638,0,448,299,247,7632,0,0,30,10,0,0,0,0,0,16,1015,6638,1877,3.5,23074,1877,12.300000190734863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,6,한양대학교,76.4,443,대학,사립,서울,A그룹,614441,434829,1049270,1078961,633775,1712736,48,63,132718,5,116,132718,500,237,737,24676,10674,35350,30683,0,1712736,22902,74.80000305175781,35350,1712736,2.0999999046325684,11122,1963,136,11122,5806,1.899999976158142,58857247607,103478359,3705000,0,125649522,16400279,0,59444000,308677160,61350275000,95650000,8810000,1400000,128235200,16250800,0,59654000,310000000,308677160,5409,57067.3,308677160,58857247607,.5,291114000,309243360,308677160,3,73,0,73,6,2,7,0,88,73,0,73,6,2,7,0,88,0,100,0,51,7,3,0,61,0,648,142,3,0,793,0,0,0,0,0,0,0,5,0,0,0,648,73,8.899999618530273,100,73,1.399999976158142,0,4,0,2,6,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,0,5,0,6,11,0,0,0,0,0,0,5,0,6,11,349,59,4,2,1,4,8508,1,4,1,8508,.6000000238418579,349,9,4,26.799999237060547
2020,7,포항공과대학교,75.8,367,대학,사립,경북,C그룹,107721,190469,298190,134206,332250,466456,44,13,566292,0,57,566292,101,23,124,5179,1754,6933,6540,143,466456,3176,146.89999389648438,6933,466456,1.5,830,208,9,830,1173,.699999988079071,20266964488,32999580,2950590,0,0,6888000,0,0,42838170,18608041000,42000000,4000000,0,0,9000000,0,0,55000000,42838170,1865,22969.5,42838170,20266964488,.2,42607334,42766300,42838170,.3,1865,1865,0,65,77,54,1,2062,1823,1823,0,62,93,63,0,2041,0,55165,171,0,41,14,0,226,638,0,553,64,459,1714,0,0,23,42,0,0,0,0,0,4,140,638,1865,.3000000119209289,55165,1865,29.600000381469727,2,3,2,0,7,0,0,0,0,0,0,2,0,6,8,0,0,0,0,0,2,5,2,6,15,0,0,0,0,0,2,5,2,6,15,702.5,87,7,0,2,6,3227,3.5999999046325684,7,2,3227,2.799999952316284,702.5,6,3,78.0999984741211
2020,8,경희대학교,75.5,45,대학,사립,서울,A그룹,938492,400956,1339448,1966969,616474,2583443,58,40,281367,5,103,281367,284,118,402,26002,5453,31455,28583,12088,2583443,34016,75.9000015258789,31455,2583443,1.2000000476837158,2263.5,473,41,2263.5,4367,.5,26127511089,58124000,11454000,41843000,0,39759000,0,0,151180000,24461397000,67800000,13000000,32200000,0,40000000,0,0,153000000,151180000,1921,78698.6,151180000,26127511089,.6,144612280,148618000,151180000,2.2,107,76,31,16,6,29,459,617,121,89,32,18,6,30,477,652,0,16295,70,31,18,10,43,172,3529,4392,436,103,1442,9902,0,0,245,46,222,1,7,18,20,4,102,7921,107,74,16295,107,152.3000030517578,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,43,6,1,0,0,0,37,27,1,0,37,27,43,1,0,43
2020,9,울산대학교,75.3,297,대학,사립,울산,A그룹,381618,203497,585115,669603,459648,1129251,45,42,97462,0,87,97462,209,45,254,11215,4295,15510,11295,9716,1129251,14146,79.80000305175781,15510,1129251,1.399999976158142,2943,271,5,2943,2334,1.2999999523162842,49980385514,38588640,2171000,0,0,28542000,0,32581160,101882800,49856885587,50000000,2000000,0,0,30000000,0,20000000,102000000,101882800,4677,21783.8,101882800,49980385514,.2,167941994,105666866,101882800,-20.3,4543,4543,0,126,251,76,132,5128,4593,4593,0,125,250,60,5,5033,0,137,992,0,43,39,17,1091,17968,0,381,875,185,19409,0,0,605,105,42,1,3,0,0,32,1946,17968,4543,4,137,4543,0,2,16,0,0,18,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,2,21,0,0,23,0,0,0,0,0,2,21,0,0,23,643.5,142,18,0,5,0,14081,1.600000023841858,18,5,14081,1.600000023841858,643.5,18,6,26.799999237060547
2020,10,경북대학교,75.3,33,대학,국립,대구,A그룹,846409,627357,1473766,2239709,1122898,3362607,33,54,356820,2,89,356820,1200,530,1730,52940,6924,59864,34905,127222,3362607,28251,119,59864,3362607,1.7999999523162842,41434.3984375,5444,190,41434.3984375,27862,1.5,0,254433730,71455270,4700000,0,168041000,0,8650000,507280000,0,299974000,71460000,5000000,38260000,182462000,0,41000000,638156000,507280000,0,0,507280000,0,0,377960680,421426240,507280000,15.9,3889,3889,0,105,143,58,30,4225,3857,3857,0,104,164,56,30,4211,0,52084,317,0,39,35,52,443,1565,0,382,271,2234,4452,0,0,889,47,3,0,0,0,0,28,942,1565,3889,.4000000059604645,52084,3889,13.399999618530272,10,24,1,4,39,0,0,0,0,0,1,7,4,1,13,0,0,0,0,0,11,31,5,5,52,0,0,0,0,0,11,31,5,5,52,3021,503,35,4,12,1,27862,1.7000000476837158,35,12,27862,1.7000000476837158,3021,40,13,57
2020,11,전남대학교,74.8,321,대학,국립,광주,A그룹,833704,490465,1324169,1332290,623935,1956225,33,32,186052,0,65,186052,1143,279,1422,31847,16002,47849,30864,620,1956225,23624,82.80000305175781,47849,1956225,2.5,13721,2302,220,13721,13594,1,74805545442,144362470,10043680,0,6400000,17413000,0,23128000,201347150,76123834000,160000000,18656000,0,6400000,17413000,0,23128000,225597000,201347150,7056,28535.6,201347150,74805545442,.3,239715070,231807960,201347150,-8.2,16070,13701,2369,541,941,356,7642,25550,15634,13306,2328,539,1070,368,6644,24255,0,1588223,7333,1278,485,275,837,10208,73072,15886,10928,4647,7711,112244,0,0,22219,12569,1835,192,338,453,163,110,2596,88958,16070,5.5,1588223,16070,98.8000030517578,11,23,0,3,37,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11,24,0,3,38,0,0,0,0,0,11,24,0,3,38,2929.300048828125,665,34,3,1,0,23581,1.600000023841858,34,1,23581,1.5,2929.300048828125,35,5,73.19999694824219
2020,12,부산대학교,74.7,178,대학,국립,부산,A그룹,751773,399191,1150964,1701929,838055,2539984,45,49,581752,5,99,581752,975,1061,2036,57102,16520,73622,39866,0,2539984,27830,91.3000030517578,73622,2539984,3,5767,475,52,5767,2763,2.0999999046325684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,13,이화여자대학교,73.8,308,대학,사립,서울,A그룹,588165,515635,1103800,991736,724804,1716540,27,79,347153,9,115,347153,568,868,1436,41248,5325,46573,37236,23395,1716540,21700,79.0999984741211,46573,1716540,2.799999952316284,3541,700,47,3541,2625,1.2999999523162842,32824616667,137629430,0,4141560,60408000,7907799,0,30430000,240516789,40650807000,141000000,0,5000000,62000000,8000000,0,25000000,241000000,240516789,4453,54012.3,240516789,32824616667,.7,242955010,259557890,240516789,-.3,1736,1736,0,56,70,29,0,1891,1699,1699,0,51,71,29,0,1850,0,1087,169,0,4,15,0,188,984,207,252,0,0,1443,0,0,0,0,0,0,0,0,0,0,0,1191,1736,.699999988079071,1087,1736,.6000000238418579,12,9,0,1,22,0,0,0,0,0,0,8,12,2,22,0,0,0,0,0,12,17,12,3,44,0,0,0,0,0,12,17,12,3,44,1813,540,21,1,20,2,21050,1.7999999523162842,21,20,21050,1.899999976158142,1813,22,23,40.29999923706055
2020,14,울산과학기술원,73.6,295,대학,국립,울산,C그룹,96132,139122,235254,108563,146791,255354,35,29,331159,0,64,331159,75,12,87,7028,47,7075,6825,0,255354,4010,63.70000076293945,7075,255354,2.799999952316284,9275.099609375,1493,70,9275.099609375,8276,1.100000023841858,349575309182,751813470,123264123,10250000,1011350310,441739217,0,76592700,2415009820,346820233000,408000000,110600000,10250000,1140000000,563050000,0,0,2231900000,2415009820,17498,138016.3,2415009820,349575309182,.7,1897620743,1899819046,2415009820,13.6,1290,1290,0,45,18,29,0,1382,1103,1103,0,43,12,35,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1290,0,0,1290,0,1,4,0,0,5,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,1,8,0,4,13,0,0,0,0,0,1,8,0,4,13,64.5,21,5,0,4,4,3953,2.5999999046325684,5,4,3953,2.299999952316284,64.5,5,5,6.5
2020,15,가톨릭대학교,73.1,6,대학,사립,경기,A그룹,429066,261933,690999,761221,402871,1164092,82,55,84866,5,142,84866,2156,431,2587,17397,3821,21218,14076,9060,1164092,10503,110.8000030517578,21218,1164092,1.899999976158142,17684,3105,189,17684,10484,1.7000000476837158,237108156271,391714878,97553750,37329260,3066582464,422280821,0,72949661,4088410834,277981210000,391600000,103749000,40500000,3085452957,489103786,0,71580257,4181986000,4088410834,10503,389261.2,4088410834,237108156271,1.7,3829331680,3742182364,4088410834,3.5,10503,8181,2322,1163,1293,457,5456,18872,10484,8317,2167,1169,1466,477,4938,18534,0,1201344,5447,794,1938,179,758,9116,60818,21568,24138,4796,14096,125416,0,0,6318,5630,3026,821,2061,635,1433,123,1499,82386,10503,7.800000190734863,1201344,10503,114.4000015258789,4,14,0,5,23,0,0,1,0,1,0,1.5,0,0,1.5,0,0,0,0,0,4,15.5,0,5,24.5,0,0,1,0,1,4,15.5,1,5,25.5,721.5,145,19,5,1.5,0,10484,2.299999952316284,19,1.5,10484,2,721.5,25,2.5,26.200000762939453
2020,16,전북대학교,73,324,대학,국립,전북,A그룹,601797,171549,773346,1323905,345204,1669109,32,34,6585,5,71,6585,585,461,1046,12276,13496,25772,13802,0,1669109,21757,76.69999694824219,25772,1669109,1.600000023841858,16051,2761,95,16051,11053,1.5,22265719857,16485230,819600,0,12683203,0,0,19951000,49939033,20523033000,12900000,600000,0,12500000,0,0,20000000,46000000,49939033,2287,21836,49939033,22265719857,.2,54086036,51163737,49939033,-3.9,500,500,0,21,28,20,12,581,509,509,0,17,30,20,16,592,0,42996,230,0,9,6,5,250,2485,0,119,33,12,2649,0,0,52,58,112,0,0,45,0,4,379,2485,500,5,42996,500,86,9,21,2,2,34,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,9,23,2,3,37,0,0,0,0,0,9,23,2,3,37,1962.5,497,32,2,2,1,21939,1.600000023841858,32,2,21939,1.5,1962.5,32,2,57.70000076293945
2020,17,건국대학교,73,18,대학,사립,서울,A그룹,529779,180547,710326,1093392,255748,1349140,28,29,9301,1,58,9301,643,194,837,24496,3619,28115,15134,3,1349140,20277,66.5,28115,1349140,2.0999999046325684,24695,3389,264,24695,20087,1.2000000476837158,396992983030,506434126,85180020,1557600,1387784205,509044049,0,10000000,2500000000,376628928000,495000000,85000000,10000000,1400000000,500000000,0,10000000,2500000000,2500000000,20277,123292.4,2500000000,396992983030,.6,2742552820,2602122040,2500000000,-4.5,20277,15933,4344,698,1258,490,26907,49630,20087,15766,4321,689,1349,538,31783,54446,0,1682509,8305,2210,671,400,2806,14392,59742,23689,10858,5262,29009,128560,0,0,0,0,0,86,238,1059,186,57,825,83431,20277,4.099999904632568,1682509,20277,83,2,5,0,2,9,0,0,0,0,0,0,16,1,1,18,0,0,0,0,0,2,21,1,3,27,0,0,0,0,0,2,21,1,3,27,230.5,54,7,2,17,1,20087,1.100000023841858,7,17,20087,1.2000000476837158,230.5,8,18,8.899999618530273
2020,18,중앙대학교,72.7,339,대학,사립,서울,A그룹,512641,521870,1034511,1474645,754605,2229250,40,60,469789,1,101,469789,257,178,435,75688,3734,79422,74007,30765,2229250,28981,76.9000015258789,79422,2229250,3.700000047683716,2043.300048828125,504,23,2043.300048828125,3355,.6000000238418579,12440866349,2290351,0,0,7000000,0,0,0,9290351,11966417000,2000000,0,0,7000000,0,0,0,9000000,9290351,2420,3839,9290351,12440866349,.1,7000000,8990963,9290351,15.9,27830,20346,7484,1335,1916,544,2212,33837,27831,20502,7329,1345,1826,536,2307,33845,0,3255500,12214,3416,1349,1189,1748,19916,139513,60740,41933,21117,40454,303757,0,0,68669,32459,1083,576,852,4271,4791,325,6362,200253,27830,7.199999809265137,3255500,27830,117,8,9,0,1,18,0,0,0,0,0,1,18,2,0,21,0,0,0,0,0,9,27,2,1,39,0,0,0,0,0,9,27,2,1,39,1472,272,17,1,21,0,29194,1.2000000476837158,17,21,29194,1.2999999523162842,1472,17,21,38.70000076293945
2020,19,충남대학교,72.7,357,대학,국립,대전,A그룹,603921,286631,890552,1360558,477959,1838517,30,44,46900,3,77,46900,200,632,832,26436,11100,37536,27023,11454,1838517,22773,80.69999694824219,37536,1838517,2.0999999046325684,899,135,13,899,1260,.699999988079071,19687178590,24921800,8090800,1496600,0,8361000,0,4275000,47145200,19585492000,28000000,8100000,1500000,0,10500000,0,5500000,53600000,47145200,1042,45244.9,47145200,19687178590,.2,31996420,44559110,47145200,22.5,1042,1042,0,32,103,53,574,1804,1005,1005,0,32,108,51,845,2041,0,55207,408,0,13,41,9,471,2980,0,211,620,106,3917,0,0,555,762,0,0,0,0,0,0,0,2980,1042,2.900000095367432,55207,1042,53,15,12,0,1,28,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,15,13,0,3,31,0,0,0,0,0,15,13,0,3,31,2082,354,27,1,1,2,22451,1.2999999523162842,27,1,22451,1.2000000476837158,2082,30.5,3,62.09999847412109
2020,20,인하대학교,72.5,316,대학,사립,인천,A그룹,582227,333788,916015,1270333,404296,1674629,37,46,58824,5,88,58824,468,81,549,20575,3551,24126,18733,9372,1674629,20352,82.30000305175781,24126,1674629,1.5,14652.7001953125,1823,116,14652.7001953125,8570,1.7000000476837158,19897336989,1996740,0,0,0,8000000,0,0,9996740,19581959447,5490760,0,0,0,8000000,0,0,13490760,9996740,3675,2720.2,9996740,19897336989,.1,9997000,9991000,9996740,0,5058,5058,0,156,197,88,141,5640,4222,4222,0,147,171,81,227,4848,0,21514,1015,0,46,19,74,1154,9461,0,518,246,418,10643,0,0,277,134,25,0,0,0,0,33,1428,9461,5058,1.899999976158142,21514,5058,4.300000190734863,7,5,1,0,13,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,7,14,1,0,22,0,0,0,0,0,7,14,1,0,22,1284,295,13,0,9,0,20240,1,13,9,20240,1.100000023841858,1284,14,9,55.79999923706055
2020,21,강원대학교,72.2,14,대학,국립,강원,A그룹,815481,195586,1011067,1292056,322726,1614782,24,33,26960,0,57,26960,559,180,739,24721,8688,33409,24331,27,1614782,22414,72,33409,1614782,2.0999999046325684,28504.900390625,3756,301,28504.900390625,22114,1.2999999523162842,283616942500,353263901,663100431,7851380,1423419153,506571533,0,17371190,2971577588,250853993000,473000000,644500000,7500000,1160000000,10000000,0,15000000,2310000000,2971577588,22414,132576.9,2971577588,283616942500,1,2337919950,2945709462,2971577588,13.4,22414,19800,2614,1006,1386,812,1302,26920,22114,19587,2527,1004,1288,815,764,25985,0,1715470,7448,2211,973,297,579,11508,41498,8459,9221,3410,18384,80972,0,0,592,3533,134,213,179,1667,4745,175,2635,49957,22414,2.200000047683716,1715470,22414,76.5,11,13,0,2,26,0,0,0,0,0,0,1,0,4,5,0,0,0,0,0,11,14,0,6,31,0,0,0,0,0,11,14,0,6,31,1746.5,373,24,2,1,4,22114,1.2999999523162842,24,1,22114,1.100000023841858,1746.5,27,5,54.59999847412109
