Year,ID,SchName,SchType,FoundType,Region,UnivScale,Settle_UnivSettle,Settle_BookCost,Settle_SerialsCost,Settle_NonBookCost,Settle_ECost_EJournal,Settle_ECost_WebDB,Settle_ECost_SubEBook,Settle_ECost_OthERes,Settle_MatCostTot,Budget_UnivBgt,Budget_BookCost,Budget_SerialsCost,Budget_NonBookCost,Budget_ECost_EJournal,Budget_ECost_WebDB,Budget_ECost_SubEBook,Budget_ECost_OthERes,Budget_MatCostTot,CostPerStSettle_MatCost,CostPerStSettle_StCountPrev,CostPerStSettle_CostPerSt,LibBgtRt_MatCost,LibBgtRt_UnivSettle,LibBgtRt_BgtRtSettle,BgtGrowth3Y_MatCostSettle_2018A,BgtGrowth3Y_MatCostSettle_2019B,BgtGrowth3Y_MatCostSettle_2020C,BgtGrowth3Y_BgtGrowth3Y
2020,1,ICT폴리텍대학,전문대학,사립,경기,C그룹,8508479168,2700000,0,0,0,0,0,0,2700000,9680332100,3000000,0,0,0,0,0,0,3000000,2700000,321,8411.2,2700000,8508479168,0.0,2543220,2618640,2700000,3.0
2020,2,가야대학교,대학,사립,경남,C그룹,57973273878,86362230,17215000,5106330,21077000,0,0,9000000,138760560,33003242000,70000000,20000000,10000000,26000000,10000000,0,14000000,150000000,138760560,2549,54437.3,138760560,57973273878,0.2,144937020,147846695,138760560,-2.1
2020,3,가천대학교,대학,사립,경기,A그룹,261245429365,620943730,0,29960100,1013632585,446339820,0,20830000,2131706235,294025591000,600000000,0,50000000,904000000,560000000,0,50000000,2164000000,2131706235,20801,102480.9,2131706235,261245429365,0.8,1899850184,1847452882,2131706235,6.3
2020,4,가톨릭관동대학교,대학,사립,강원,B그룹,106940058918,237732970,7047000,9701170,326190554,147322895,0,64454703,792449292,114273754000,230000000,9000000,10000000,350810000,120987000,0,71080000,791877000,792449292,8474,93515.4,792449292,106940058918,0.7,758269988,815274799,792449292,2.4
2020,5,가톨릭꽃동네대학교,대학,사립,충북,C그룹,9080185063,24126000,2182000,0,0,23692000,0,0,50000000,8323643000,16800000,2200000,0,0,25000000,0,6000000,50000000,50000000,510,98039.2,50000000,9080185063,0.6,90000000,95000000,50000000,-20.9
2020,6,가톨릭대학교,대학,사립,경기,A그룹,237108156271,391714878,97553750,37329260,3066582464,422280821,0,72949661,4088410834,277981210000,391600000,103749000,40500000,3085452957,489103786,0,71580257,4181986000,4088410834,10503,389261.2,4088410834,237108156271,1.7,3829331680,3742182364,4088410834,3.5
2020,7,가톨릭상지대학교,전문대학,사립,경북,C그룹,22888177356,38436620,1572300,1277000,12000000,2569207,0,7800000,63655127,22193443034,36810000,2700000,2000000,8500000,2600000,0,8300000,60910000,63655127,1885,33769.3,63655127,22888177356,0.3,63462347,62338178,63655127,0.2
2020,8,감리교신학대학교,대학,사립,서울,C그룹,18194584445,90970660,7112146,94050,26833296,18894023,0,6000000,149904175,16967874801,51400000,9000000,1000000,20000000,18000000,0,600000,100000000,149904175,1544,97088.2,149904175,18194584445,0.8,139999391,149999992,149904175,3.5
2020,9,강남대학교,대학,사립,경기,B그룹,78358404265,165969320,31207321,27073770,128511654,116423743,0,11450000,480635808,76974844000,172096000,50000000,20000000,142000000,123000000,0,15000000,522096000,480635808,7152,67203.0,480635808,78358404265,0.6,388767755,335755724,480635808,14.8
2020,10,강동대학교,전문대학,사립,충북,B그룹,33401280949,70447970,3920300,0,0,15388800,0,0,89757070,43619426000,70000000,4000000,0,0,16000000,0,0,90000000,89757070,3763,23852.5,89757070,33401280949,0.3,109801332,108781252,89757070,-9.2
2020,11,강릉영동대학교,전문대학,사립,강원,B그룹,22561524702,52013550,0,0,5780000,2599913,0,0,60393463,27857118760,56160000,0,0,0,0,0,0,56160000,60393463,2795,21607.7,60393463,22561524702,0.3,68867734,63657034,60393463,-6.3
2020,12,강서대학교,대학,사립,서울,C그룹,16312543695,36078051,7633915,190800,24167000,31370229,0,2200000,101639995,15966259000,32440000,10000000,1000000,26780000,33020000,0,2200000,105440000,101639995,1520,66868.4,101639995,16312543695,0.6,99000000,92599997,101639995,1.6
2020,13,강원관광대학교,전문대학,사립,강원,C그룹,12117965087,22311950,1440300,0,4480000,0,0,0,28232250,13124533000,35000000,2000000,0,5000000,0,0,0,42000000,28232250,1187,23784.5,28232250,12117965087,0.2,32045990,31750990,28232250,-6.0
2020,14,강원대학교,대학,국립,강원,A그룹,283616942500,353263901,663100431,7851380,1423419153,506571533,0,17371190,2971577588,250853993000,473000000,644500000,7500000,1160000000,10000000,0,15000000,2310000000,2971577588,22414,132576.9,2971577588,283616942500,1.0,2337919950,2945709462,2971577588,13.4
2020,15,강원도립대학교,전문대학,공립,강원,C그룹,13403950820,29999200,2875000,0,0,0,0,3500000,36374200,13450000000,30000000,3000000,0,0,0,0,3500000,36500000,36374200,619,58762.8,36374200,13403950820,0.3,36474800,36435000,36374200,-0.1
2020,16,개신대학원대학교,대학원대학,사립,서울,-,1245099399,4159545,332000,0,0,0,0,0,4491545,1335790000,8200000,800000,0,0,0,0,0,9000000,4491545,157,28608.6,4491545,1245099399,0.4,7165584,6321583,4491545,-20.4
2020,17,거제대학교,전문대학,사립,경남,C그룹,14381336558,28103990,3595500,1250210,4388000,2539015,0,0,39876715,13013192000,27000000,4000000,1500000,3500000,3500000,0,0,39500000,39876715,1199,33258.3,39876715,14381336558,0.3,39689373,43235984,39876715,0.6
2020,18,건국대학교,대학,사립,서울,A그룹,396992983030,506434126,85180020,1557600,1387784205,509044049,0,10000000,2500000000,376628928000,495000000,85000000,10000000,1400000000,500000000,0,10000000,2500000000,2500000000,20277,123292.4,2500000000,396992983030,0.6,2742552820,2602122040,2500000000,-4.5
2020,19,건국대학교(글로컬),대학,사립,충북,B그룹,0,315806788,45203090,182830,353490986,100297868,0,15200000,830181562,0,274878000,47839515,800000,371165535,142495821,0,15200000,852378871,830181562,7667,108279.8,830181562,0,0.0,1033027905,899983367,830181562,-10.3
2020,20,건동대학교,대학,사립,경북,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,21,건신대학원대학교,대학원대학,사립,대전,-,1360043314,4117140,935000,0,7643570,0,0,0,12695710,1467921000,8500000,1600000,0,7500000,0,0,0,17600000,12695710,165,76943.7,12695710,1360043314,0.9,17455724,13712160,12695710,-14.4
2020,22,건양대학교,대학,사립,충남,B그룹,125916414310,249998810,0,9999405,283872716,110047384,0,0,653918315,121080463738,218000000,0,7000000,317000000,103000000,0,25000000,670000000,653918315,7914,82628.0,653918315,125916414310,0.5,564605744,634995167,653918315,7.7
2020,23,경기과학기술대학교,전문대학,사립,경기,A그룹,42266299442,100398440,11154600,1098400,10822000,3000000,0,890000,127363440,43451959665,101000000,11450000,3000000,11000000,3200000,0,900000,130550000,127363440,4269,29834.5,127363440,42266299442,0.3,142583910,121899270,127363440,-5.0
2020,24,경기대학교,대학,사립,경기,A그룹,187022294585,149000000,10276000,53407687,507377885,117580490,0,39480000,877122062,191127475000,149000000,12220000,45000000,518000000,121500000,0,41000000,886720000,877122062,16083,54537.2,877122062,187022294585,0.5,903259039,826935439,877122062,-1.2
2020,25,경남대학교,대학,사립,경남,A그룹,128454943550,240150617,22445705,5768510,424671463,168692472,0,14262987,875991754,124334991000,262000000,29000000,7000000,430000000,170000000,0,20000000,918000000,875991754,12609,69473.5,875991754,128454943550,0.7,891476760,877981409,875991754,-0.9
2020,26,경남도립거창대학,전문대학,공립,경남,C그룹,12065113797,18983110,1939500,2998660,3678000,0,0,0,27599270,17391282000,19000000,2000000,2000000,4000000,2000000,0,0,29000000,27599270,898,30734.2,27599270,12065113797,0.2,25753500,26266650,27599270,3.5
2020,27,경남도립남해대학,전문대학,공립,경남,C그룹,13410981581,19641280,496000,1035810,0,0,0,0,21173090,11832417000,25000000,0,0,0,0,0,0,25000000,21173090,794,26666.4,21173090,13410981581,0.2,22564390,22185770,21173090,-3.1
2020,28,경남정보대학교,전문대학,사립,부산,A그룹,68394717446,105705070,5496090,4660110,0,36137750,0,0,151999020,65702905000,100000000,5000000,4000000,0,36000000,0,0,145000000,151999020,7036,21603.0,151999020,68394717446,0.2,169998830,149998330,151999020,-5.2
2020,29,경동대학교,대학,사립,강원,B그룹,93072893987,286792870,0,0,77317614,27477383,0,48311492,439899359,96911335984,320000000,0,8950000,95000000,20000000,0,20000000,463950000,439899359,7794,56440.8,439899359,93072893987,0.5,410044540,438984907,439899359,3.6
2020,30,경민대학교,전문대학,사립,경기,B그룹,49387123852,102080660,10305600,933990,25087000,4186636,0,15600000,158193886,52082785000,93000000,11000000,1000000,26200000,5500000,0,19300000,156000000,158193886,4336,36483.8,158193886,49387123852,0.3,160336808,160924177,158193886,-0.7
2020,31,경복대학교,전문대학,사립,경기,A그룹,90626605889,162596670,4275497,2174310,0,17217422,0,0,186263899,75287618000,120850000,4150000,2000000,0,18000000,0,0,145000000,186263899,6565,28372.3,186263899,90626605889,0.2,142481521,143998910,186263899,15.2
2020,32,경북과학대학교,전문대학,사립,경북,C그룹,26731658623,5730210,156000,0,4302000,0,0,0,10188210,27747048000,21127000,0,0,8273000,0,0,3000000,32400000,10188210,1425,7149.6,10188210,26731658623,0.0,36596840,20541000,10188210,-47.1
2020,33,경북대학교,대학,국립,대구,A그룹,347126748906,1199348540,1082078470,6416400,1977519150,724600190,0,95861990,5085824740,329090590000,750000000,1270637000,5300000,1120000000,864000000,0,20000000,4029937000,5085824740,28251,180022.8,5085824740,347126748906,1.5,4860499440,4064059636,5085824740,4.4
2020,34,경북보건대학교,전문대학,사립,경북,C그룹,14191668685,33375490,305000,0,7588000,2521670,0,0,43790160,13680683000,32000000,500000,0,12500000,0,0,0,45000000,43790160,1298,33736.6,43790160,14191668685,0.3,43582649,42233780,43790160,0.3
2020,35,경북외국어대학교,대학,사립,대구,C그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0
2020,36,경북전문대학교,전문대학,사립,경북,B그룹,29735146705,43964210,5031000,0,5480000,2366161,0,0,56841371,30986980000,48000000,6060000,4800000,5000000,2500000,0,0,66360000,56841371,2852,19930.4,56841371,29735146705,0.2,55746612,56098725,56841371,1.0
2020,37,경상국립대학교,대학,국립,경남,A그룹,286441040758,460813410,630193780,12963420,1288163759,466052297,0,48920000,2907106666,237388951000,451000000,396420000,25000000,865101000,80101000,0,40200000,1857822000,2907106666,21750,133660.1,2907106666,286441040758,1.0,2638953080,2783807890,2907106666,5.0
2020,38,경성대학교,대학,사립,부산,A그룹,150701171973,312338934,22142622,11183500,376134762,171245050,0,30000000,923044868,133477136000,289000000,20000000,10000000,350000000,182356147,0,30000000,881356147,923044868,12883,71648.3,923044868,150701171973,0.6,1019213171,972728603,923044868,-4.8
2020,39,경안대학원대학교,대학원대학,사립,경북,-,430504630,439300,0,0,0,0,0,0,439300,459961717,1000000,0,0,0,0,0,0,1000000,439300,60,7321.7,439300,430504630,0.1,917700,226120,439300,9.5
2020,40,경운대학교,대학,사립,경북,C그룹,56449939310,91414850,7917440,2920000,27735000,15836536,0,0,145823826,56011427000,165700000,23500000,6000000,36800000,16000000,0,0,248000000,145823826,4608,31645.8,145823826,56449939310,0.3,285549208,258356286,145823826,-26.5
2020,41,경인교육대학교,대학,국립,인천,C그룹,46457921864,253672160,27312870,2065750,78819705,28775523,0,9000000,399646008,49259051000,259000000,29000000,2000000,80000000,21000000,0,9000000,400000000,399646008,4008,99712.1,399646008,46457921864,0.9,356884958,370005000,399646008,5.8
2020,42,경인여자대학교,전문대학,사립,인천,B그룹,79147491096,95259320,10823838,4024060,0,6971701,0,0,117078919,62548129000,96200000,9885700,4000000,0,8700000,0,0,118785700,117078919,4646,25199.9,117078919,79147491096,0.1,178386855,133024123,117078919,-18.7
2020,43,경일대학교,대학,사립,경북,B그룹,78357370640,179252220,12644900,3929310,118789750,38417147,0,59694000,412727327,78727924270,182000000,13000000,4000000,125000000,42000000,0,38000000,404000000,412727327,7015,58835.0,412727327,78357370640,0.5,400540215,402972521,412727327,1.5
2020,44,경찰대학,기타,기타,충남,-,0,120268833,40543463,4225085,0,43735000,0,0,208772381,0,130000000,11880000,5000000,0,50500000,0,0,197380000,208772381,0,0.0,208772381,0,0.0,211865060,211865060,208772381,-0.7
2020,45,경희대학교,대학,사립,서울,A그룹,468612879042,476302247,50192471,8176185,3880448300,899904606,0,145496072,5460519881,485816571000,559592000,60000000,4500000,3940336000,833000000,0,174049000,5571477000,5460519881,34016,160528.0,5460519881,468612879042,1.2,5249671357,5256141968,5460519881,2.0
2020,46,계명대학교,대학,사립,대구,A그룹,323567146893,590078520,184365920,15596750,1108855020,791467687,0,196073930,2886437827,307785509000,572500000,150000000,15000000,1245000000,742000000,0,175000000,2899500000,2886437827,23391,123399.5,2886437827,323567146893,0.9,3034636049,2959036625,2886437827,-2.5
2020,47,계명문화대학교,전문대학,사립,대구,A그룹,56937861262,69981598,590400,9842076,13611000,15563600,0,5000000,114588674,57690000000,73000000,1000000,9000000,13000000,14000000,0,5000000,115000000,114588674,5255,21805.6,114588674,56937861262,0.2,112837792,113095119,114588674,0.8
2020,48,계약신학대학원대학교,대학원대학,사립,경기,-,744884609,7162350,514000,0,0,0,0,0,7676350,826786000,6930000,430000,0,0,0,0,0,7360000,7676350,31,247624.2,7676350,744884609,1.0,5247560,9801975,7676350,32.6
2020,49,계원예술대학교,전문대학,사립,경기,B그룹,33813226215,62696100,14873887,0,11818000,8693697,0,26254450,124336134,33576908256,43000000,18500000,1500000,10000000,8500000,0,15000000,96500000,124336134,2892,42993.1,124336134,33813226215,0.4,149940053,139583765,124336134,-8.9
2020,50,고려대학교,대학,사립,서울,A그룹,753651781333,864944173,519292393,17333830,4544872560,1134237173,0,293695830,7374375959,724535442000,891600000,525690000,17000000,4637485000,1105725000,0,321908000,7499408000,7374375959,29757,247819.9,7374375959,753651781333,1.0,6802538133,7135558329,7374375959,4.1
2020,51,고려대학교(세종),대학,사립,세종,B그룹,0,75667443,17026642,1143120,222376566,227452234,0,51199024,594865029,0,76600000,19894250,1000000,247802750,241104000,0,28200000,614601000,594865029,7135,83372.8,594865029,0,0.0,655636799,593339183,594865029,-4.6
2020,52,고려사이버대학교,대학,사립,서울,A그룹,50353963815,14941000,0,0,0,12000000,0,0,26941000,52890886000,17000000,0,0,0,13500000,0,0,30500000,26941000,9045,2978.6,26941000,50353963815,0.1,25480000,24986000,26941000,2.9
2020,53,고신대학교,대학,사립,부산,C그룹,60973723982,126916100,38428963,988290,364199145,64202074,0,25817557,620552129,71202043000,123280000,46924000,1000000,430000000,86000000,0,30000000,717204000,620552129,4802,129227.8,620552129,60973723982,1.0,733616056,609106140,620552129,-7.5
2020,54,공군사관학교,기타,기타,충북,-,0,98000000,14561700,9800000,26377400,14400000,0,0,163139100,0,98000000,14560000,9300000,26297000,14631000,0,0,162788000,163139100,0,0.0,163139100,0,0.0,147286360,159162000,163139100,5.3
